glut_med1_r-P1	-0.0408	0.0304	0.1209
glut_med2_r-P1	-0.0855	0.0445	0.0766
glut_med3_r-P1	-0.1223	0.0105	0.0648
glut_min1_r-P1	-0.0467	-0.008	0.1056
glut_min2_r-P1	-0.0633	-0.0065	0.0991
glut_min3_r-P1	-0.0834	-0.0063	0.0856
semimem_r-P1	-0.1192	-0.09747	0.07151
semiten_r-P1	-0.12635	-0.10988	0.06039
bifemlh_r-P1	-0.12596	-0.10257	0.06944
sar_r-P1	-0.0153	-0.0013	0.1242
add_long_r-P1	-0.0316	-0.0836	0.0169
add_brev_r-P1	-0.0587	-0.0915	0.0164
add_mag1_r-P1	-0.0732	-0.1174	0.0255
add_mag2_r-P1	-0.0831	-0.1192	0.0308
add_mag3_r-P1	-0.11108	-0.11413	0.04882
tfl_r-P1	-0.0311	0.0214	0.1241
pect_r-P1	-0.0431	-0.0768	0.0451
grac_r-P1	-0.07401	-0.1187	0.02794
glut_max1_r-P1	-0.1195	0.0612	0.07
glut_max1_r-P2	-0.1291	0.0012	0.0886
glut_max2_r-P1	-0.1349	0.0176	0.0563
glut_max2_r-P2	-0.1376	-0.052	0.0914
glut_max3_r-P1	-0.1556	-0.0314	0.0058
glut_max3_r-P2	-0.1529	-0.1052	0.0403
iliacus_r-P1	-0.0674	0.0365	0.0854
iliacus_r-P2	-0.0258	-0.055	0.0811
iliacus_r-P3	-0.0288	-0.0805	0.0816
psoas_r-P1	-0.0647	0.0887	0.0289
psoas_r-P2	-0.0238	-0.057	0.0759
psoas_r-P3	-0.0288	-0.0805	0.0816
quad_fem_r-P1	-0.1143	-0.1151	0.052
gem_r-P1	-0.1133	-0.082	0.0714
peri_r-P1	-0.1396	0.0003	0.0235
peri_r-P2	-0.1193	-0.0276	0.0657
rect_fem_r-P1	-0.0295	-0.0311	0.0968
glut_med1_l-P1	-0.0408	0.0304	-0.1209
glut_med2_l-P1	-0.0855	0.0445	-0.0766
glut_med3_l-P1	-0.1223	0.0105	-0.0648
glut_min1_l-P1	-0.0467	-0.008	-0.1056
glut_min2_l-P1	-0.0633	-0.0065	-0.0991
glut_min3_l-P1	-0.0834	-0.0063	-0.0856
semimem_l-P1	-0.1192	-0.09747	-0.07151
semiten_l-P1	-0.12635	-0.10988	-0.06039
bifemlh_l-P1	-0.12596	-0.10257	-0.06944
sar_l-P1	-0.0153	-0.0013	-0.1242
add_long_l-P1	-0.0316	-0.0836	-0.0169
add_brev_l-P1	-0.0587	-0.0915	-0.0164
add_mag1_l-P1	-0.0732	-0.1174	-0.0255
add_mag2_l-P1	-0.0831	-0.1192	-0.0308
add_mag3_l-P1	-0.11108	-0.11413	-0.04882
tfl_l-P1	-0.0311	0.0214	-0.1241
pect_l-P1	-0.0431	-0.0768	-0.0451
grac_l-P1	-0.07401	-0.1187	-0.02794
glut_max1_l-P1	-0.1195	0.0612	-0.07
glut_max1_l-P2	-0.1291	0.0012	-0.0886
glut_max2_l-P1	-0.1349	0.0176	-0.0563
glut_max2_l-P2	-0.1376	-0.052	-0.0914
glut_max3_l-P1	-0.1556	-0.0314	-0.0058
glut_max3_l-P2	-0.1529	-0.1052	-0.0403
iliacus_l-P1	-0.0674	0.0365	-0.0854
iliacus_l-P2	-0.0258	-0.055	-0.0811
iliacus_l-P3	-0.0288	-0.0805	-0.0816
psoas_l-P1	-0.0647	0.0887	-0.0289
psoas_l-P2	-0.0238	-0.057	-0.0759
psoas_l-P3	-0.0288	-0.0805	-0.0816
quad_fem_l-P1	-0.1143	-0.1151	-0.052
gem_l-P1	-0.1133	-0.082	-0.0714
peri_l-P1	-0.1396	0.0003	-0.0235
peri_l-P2	-0.1193	-0.0276	-0.0657
rect_fem_l-P1	-0.0295	-0.0311	-0.0968
ercspn_r-P1	-0.14	0.0439	0.0436
ercspn_l-P1	-0.14	0.0439	-0.0436
intobl_r-P1	-0.04	0.07	0.1157
intobl_l-P1	-0.04	0.07	-0.1157
extobl_r-P1	-0.03	-0.0636	0.01
extobl_l-P1	-0.03	-0.0636	-0.01
